,block_number,block_timestamp,block_time,rai_redemption_price,rai_balance,rai_balance_usd,threecrv_balance,total_pool_balance
0,13634171,1637168359,2021-11-17 17:59:19,3.02765328085218,0.0,0.0,0.0,0.0
1,13635171,1637181363,2021-11-17 21:36:03,3.02765328085218,0.0,0.0,0.0,0.0
2,13636171,1637195564,2021-11-18 01:32:44,3.02765328085218,0.0,0.0,0.0,0.0
3,13637171,1637209110,2021-11-18 05:18:30,3.02765328085218,0.0,0.0,0.0,0.0
4,13638171,1637223099,2021-11-18 09:11:39,3.02765328085218,0.0,0.0,0.0,0.0
5,13639171,1637236138,2021-11-18 12:48:58,3.02765328085218,0.0,0.0,0.0,0.0
6,13640171,1637249980,2021-11-18 16:39:40,3.02765328085218,0.0,0.0,0.0,0.0
7,13641171,1637263401,2021-11-18 20:23:21,3.02765328085218,0.0,0.0,0.0,0.0
8,13642171,1637276824,2021-11-19 00:07:04,3.0277329275658382,16.416341435130576,49.704297513308276,47.76875785335335,97.47305536666163
9,13643171,1637290586,2021-11-19 03:56:26,3.0277329275658382,16.416341435130576,49.704297513308276,47.76875785335335,97.47305536666163
10,13644171,1637304699,2021-11-19 07:51:39,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
11,13645171,1637318912,2021-11-19 11:48:32,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
12,13646171,1637333690,2021-11-19 15:54:50,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
13,13647171,1637346960,2021-11-19 19:36:00,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
14,13648171,1637360788,2021-11-19 23:26:28,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
15,13649171,1637373932,2021-11-20 03:05:32,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
16,13650171,1637388025,2021-11-20 07:00:25,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
17,13651171,1637401162,2021-11-20 10:39:22,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
18,13652171,1637415159,2021-11-20 14:32:39,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
19,13653171,1637428473,2021-11-20 18:14:33,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
20,13654171,1637442723,2021-11-20 22:12:03,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
21,13655171,1637456336,2021-11-21 01:58:56,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
22,13656171,1637470488,2021-11-21 05:54:48,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
23,13657171,1637484506,2021-11-21 09:48:26,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
24,13658171,1637497523,2021-11-21 13:25:23,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
25,13659171,1637511137,2021-11-21 17:12:17,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
